year,local,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47
2015,경기양주시,41630,Yangju-si,양주시,"20,999","76,357",245,0,"55,603","2,720,633","2,713,012","7,921",0,300,-6.62,"590,075","551,007","579,029","11,046","577,144","468,166","37,523","71,454",75.2,24.45,50.7,"99,925","207,222","408,682",536,"108,245",,,7.4,"38,229","516,976",31.2,"153,591","7,564",30.7,61.9,12.7,"205,184",새누리당,6th,현삼식,새누리당,52.21,이성호,새정치민주연합,47.78
2016,경기양주시,41630,Yangju-si,양주시,"52,833","52,428",405,0,0,"2,848,690","2,838,527","12,605",0,"2,442",-0.37,"600,026","597,810","577,726","22,300","634,787","533,883","78,776","22,129",75.7,30.15,45.52,"141,057","212,991","467,907",561,"115,041",,,7.8,"44,329","570,363",30.7,"166,867","8,101",33.8,64.9,13,"205,513",새누리당,6th,현삼식,새누리당,52.21,이성호,새정치민주연합,47.78
2017,경기양주시,41630,Yangju-si,양주시,"6,481","5,891",590,0,0,"2,952,326","2,942,062","12,706",0,"2,442",-0.86,"673,608","667,801","638,453","35,155","715,826","592,921","104,576","18,329",78.4,34.04,44.32,"165,610","215,673","486,575",615,"126,490",,,10.6,"64,239","608,485",30.4,"174,995","10,241",33.2,66.1,13.7,"212,146",새정치민주연합,6th,현삼식,새누리당,52.21,이성호,새정치민주연합,47.78
2018,경기양주시,41630,Yangju-si,양주시,"7,844","7,344",500,0,0,"3,072,534","3,062,050","12,926",0,"2,442",2.45,"709,168","726,535","709,322",-155,"742,821","627,569","98,593","16,659",79.1,32.41,46.7,"180,984","260,763","558,426",675,"143,194",,,7.2,"46,822","653,654",33.7,"207,646","12,447",33,65.2,14.3,"216,951",더불어민주당,7th,이성호,더불어민주당,71.9,이홍규,자유한국당,28.09
2019,경기양주시,41630,Yangju-si,양주시,"165,879","10,364","155,514",0,0,"3,336,906","3,179,938","159,410",0,"2,442",-0.13,"839,404","838,301","839,457",-53,"880,911","750,443","105,450","25,018",81.1,31.29,49.85,"200,874","320,034","641,994",686,"148,822",,,8.3,"63,811","765,454",35.1,"255,053","13,425",28.7,63.3,15,"222,314",더불어민주당,7th,이성호,더불어민주당,71.9,이홍규,자유한국당,28.09
2020,경기양주시,41630,Yangju-si,양주시,"295,260","41,287","253,973",0,0,"3,780,268","3,530,006","252,662",0,"2,400",-0.53,"1,005,558","1,000,247","1,005,653",-95,"1,061,813","911,864","109,754","40,195",81.7,30.52,51.23,"231,694","388,981","759,242",730,"162,276",,,7.7,"72,185","938,227",40.2,"358,148","19,162",26.8,59.5,15.7,"230,359",더불어민주당,7th,이성호,더불어민주당,71.9,이홍규,자유한국당,28.09
2021,경기양주시,41630,Yangju-si,양주시,"341,853","83,470","258,383",0,0,"4,807,154","4,540,383","274,171",0,"7,400",-2.22,"1,063,476","1,039,890","1,058,756","4,720","1,123,545","984,855","101,535","37,155",84.1,31.06,53,"246,814","421,141","794,640",730,"168,135",,,8.3,"1,048,194","87,265",38.2,"384,413","16,388",25.5,56.7,16.5,"236,368",더불어민주당,7th,이성호,더불어민주당,71.9,이홍규,자유한국당,28.09
2022,경기양주시,41630,Yangju-si,양주시,,,,,,,,,,,,,,,,,,,,84.8,31.36,53.41,"288,282","490,909","919,149",789,"186,545",,,,,,,,,24.6,57.6,17.2,"243,432",국민의힘,8th,강수현,국민의힘,51.14,정덕영,더불어민주당,46.59
2003,경기양평군,41830,Yangpyeong-gun,양평군,,,,,,,,,,,,,,,,"273,552","228,230","7,067","38,255",54.8,11.1,43.71,"15,308","60,268","137,870",172,"14,294",,,,,,,,,20.9,52.4,15.2,"83,730",새천년민주당,3rd,한택수,무소속,43.52,서광원,한나라당,41.84
2004,경기양평군,41830,Yangpyeong-gun,양평군,,,,,,,,,,,,,,,,"281,934","207,211","6,421","68,302",61.6,15.12,46.53,"26,554","81,703","175,604",206,"17,218",,,,,,,,,18.9,51.6,15.8,"84,673",새천년민주당,3rd,한택수,무소속,43.52,서광원,한나라당,41.84
2005,경기양평군,41830,Yangpyeong-gun,양평군,,,,,,,,,,,,,,,,"272,731","212,060","7,811","52,860",54.1,15.53,38.53,"29,849","74,034","192,147",245,"20,711",,,,,,,,,17.4,54.2,16.4,"85,533",새천년민주당,3rd,한택수,무소속,43.52,서광원,한나라당,41.84
2006,경기양평군,41830,Yangpyeong-gun,양평군,,,,,,,,,,,,,,,,"313,185","223,646","13,685","75,854",66.8,19.33,47.43,"39,175","96,129","202,673",252,"21,551",,,,,,,,,16.9,64.2,16.9,"86,298",열린우리당,4th,한택수,무소속,50.27,유병덕,한나라당,43.33
2007,경기양평군,41830,Yangpyeong-gun,양평군,,,,,,,,,,,,,,,,"357,476","357,476","357,476","357,476",66.9,19.13,47.82,"39,179","97,941","204,812",282,"24,344",,,,,,,,,18.7,63,17.5,"87,874",열린우리당,4th,한택수,무소속,50.27,유병덕,한나라당,43.33
2008,경기양평군,41830,Yangpyeong-gun,양평군,,,,,,,,,,,,,,,,"417,850","310,255","13,244","94,352",77.1,32.16,44.98,"77,374","108,219","240,605",381,"33,520",,,6.3,"20,170","319,325",17.5,"50,930","4,905",23.9,66.8,17.9,"89,812",한나라당,4th,한택수,무소속,50.27,유병덕,한나라당,43.33
2009,경기양평군,41830,Yangpyeong-gun,양평군,,,,,,,,,,,-15,"467,208","397,109","473,452","-6,244","513,890","386,395","21,675","105,820",79.5,40.78,38.68,"123,099","116,760","301,858",446,"40,017",,,4,"14,931","375,552",18.4,"62,431","6,577",29.7,66.7,18.3,"91,450",한나라당,4th,한택수,무소속,50.27,유병덕,한나라당,43.33
2010,경기양평군,41830,Yangpyeong-gun,양평군,,,,,,,,,,,-0.27,"379,046","378,027","391,149","-12,103","404,585","311,667","16,806","76,112",75.2,25.75,49.45,"64,602","124,044","250,866",465,"42,560",,,5,"16,202","322,238",21.8,"64,581","5,750",24.4,63.5,18.5,"95,833",한나라당,5th,김선교,한나라당,66.72,윤칠선,무소속,24.02
2011,경기양평군,41830,Yangpyeong-gun,양평군,,,,,,,,,,,0.47,"398,560","400,434","412,460","-13,900","433,003","349,830","52,960","30,213",78.8,29.43,49.4,"77,812","130,623","264,414",465,"44,560",,,7.3,"27,150","370,908",18.8,"62,697","7,048",25,65.7,18.8,"99,430",한나라당,5th,김선교,한나라당,66.72,윤칠선,무소속,24.02
2012,경기양평군,41830,Yangpyeong-gun,양평군,,,,,,,,,,,-2.49,"409,391","399,185","407,389","2,002","433,198","369,438","36,208","27,552",80.6,36.27,44.29,"104,564","127,698","288,291",480,"47,709",,,8.3,"30,345","365,583",22,"72,694","7,749",24.7,67.6,19.4,"102,193",한나라당,5th,김선교,한나라당,66.72,윤칠선,무소속,24.02
2013,경기양평군,41830,Yangpyeong-gun,양평군,,,,,,,,,,,-0.4,"437,526","435,766","432,867","4,659","454,808","380,700","47,006","27,103",78.4,34.68,43.77,"111,313","140,481","320,963",492,"50,310",,,10.3,"40,017","387,594",24.3,"84,993","9,143",23.8,68.6,19.9,"103,620",한나라당,5th,김선교,한나라당,66.72,윤칠선,무소속,24.02
2014,경기양평군,41830,Yangpyeong-gun,양평군,,,,,,,,,,,-2.56,"455,495","443,832","449,018","6,477","449,953","381,929","38,359","29,665",80.6,34.6,46.01,"116,571","155,029","336,914",508,"52,625",,,7.1,"27,964","392,735",26.7,"96,011","8,934",20.6,64.4,20.4,"105,379",새누리당,6th,김선교,새누리당,60.12,김덕수,무소속,39.87
2015,경기양평군,41830,Yangpyeong-gun,양평군,"31,428","25,645","20,397",0,"14,614","2,550,315","2,513,694","39,307",0,"2,686",-4.44,"524,443","501,183","515,013","9,430","494,490","407,262","53,377","33,851",77.9,33.19,44.69,"111,487","150,125","335,899",489,"51,516",,,6.6,"30,093","457,871",26.3,"110,359","10,006",20.2,66.4,20.9,"108,316",새누리당,6th,김선교,새누리당,60.12,김덕수,무소속,39.87
2016,경기양평군,41830,Yangpyeong-gun,양평군,"40,861","19,405","21,457",0,0,"2,630,758","2,617,618","42,727",0,"29,587",3.25,"498,062","514,255","488,749","9,313","533,057","452,784","52,660","27,613",77.5,33.28,44.22,"119,809","159,188","359,970",508,"55,069",,,8.1,"38,359","473,437",27.1,"118,331","9,863",20.5,65.8,21.2,"111,367",새누리당,6th,김선교,새누리당,60.12,김덕수,무소속,39.87
2017,경기양평군,41830,Yangpyeong-gun,양평군,"36,291","11,906","24,385",0,0,"2,725,725","2,707,022","48,291",0,"29,587",4.82,"548,213","574,661","542,683","5,531","580,684","503,282","45,694","31,708",77.8,33.05,44.79,"124,027","168,059","375,233",558,"62,194",,,7.5,"39,948","529,658",26.8,"130,385","11,516",22.4,65.8,22.2,"115,105",새정치민주연합,6th,김선교,새누리당,60.12,김덕수,무소속,39.87
2018,경기양평군,41830,Yangpyeong-gun,양평군,"31,432","9,142","22,290",0,0,"2,788,959","2,778,299","40,247",0,"29,587",3.9,"584,048","606,804","578,883","5,165","634,409","553,359","49,541","31,509",81.2,38.12,43.07,"170,493","192,628","447,271",608,"70,000",,,8.5,"47,983","566,298",28.6,"149,488","12,741",20,66.1,23.2,"116,095",더불어민주당,7th,정동균,더불어민주당,37.18,한명현,자유한국당,35.95
2019,경기양평군,41830,Yangpyeong-gun,양평군,"37,533","10,273","27,260",0,0,"2,964,929","2,953,167","41,349",0,"29,587",10.18,"637,930","702,864","637,058",872,"692,212","592,024","52,410","47,778",79.2,33.33,45.86,"174,029","239,495","522,194",609,"70,750",,,7.3,"48,253","658,059",29.8,"184,827","11,165",17.7,63.3,24.3,"116,874",더불어민주당,7th,정동균,더불어민주당,37.18,한명현,자유한국당,35.95
2020,경기양평군,41830,Yangpyeong-gun,양평군,"39,048","10,935","28,114",0,0,"3,125,732","3,114,725","40,593",0,"29,587",4.09,"832,380","866,449","831,845",535,"896,089","709,378","104,953","81,758",81.5,37.4,44.07,"219,261","258,361","586,249",720,"84,182",,,5.8,"42,473","733,105",33.2,"229,053","14,425",18.3,67.3,25.7,"118,810",더불어민주당,7th,정동균,더불어민주당,37.18,한명현,자유한국당,35.95
2021,경기양평군,41830,Yangpyeong-gun,양평군,"36,136","34,035","2,102",0,0,"3,201,265","3,216,210","14,641",0,"29,587",7.68,"853,856","919,474","857,793","-3,936","945,046","755,369","121,440","68,237",80.8,35.96,44.87,"220,913","275,667","614,406",721,"85,632",,,10.1,"845,751","85,047",29,"229,873","15,393",17.7,64.4,26.7,"121,230",더불어민주당,7th,정동균,더불어민주당,37.18,한명현,자유한국당,35.95
2022,경기양평군,41830,Yangpyeong-gun,양평군,,,,,,,,,,,,,,,,,,,,82.6,36.1,46.54,"267,842","345,296","741,862",806,"97,682",,,,,,,,,16.8,62.5,28,"122,323",국민의힘,8th,전진선,국민의힘,54.66,정동균,더불어민주당,45.33
2003,경기여주군,41670,Yeoju-si,여주시,,,,,,,,,,,,,,,,"221,335","186,758","11,651","22,926",63.6,13.61,49.99,"22,808","83,794","167,608",291,"30,333",,,,,,,,,31,63.4,11.9,"104,030",새천년민주당,3rd,임창선,한나라당,58.61,박용국,새천년민주당,35.06
2004,경기여주군,41670,Yeoju-si,여주시,,,,,,,,,,,,,,,,"281,193","218,302","17,328","45,563",65.9,14.68,51.17,"26,083","90,895","177,630",306,"31,840",,,,,,,,,30.2,60.7,12.4,"103,976",새천년민주당,3rd,임창선,한나라당,58.61,박용국,새천년민주당,35.06
2005,경기여주군,41670,Yeoju-si,여주시,,,,,,,,,,,,,,,,"306,137","240,055","14,465","51,617",64.6,18.65,45.95,"32,183","79,293","172,558",429,"44,656",,,,,,,,,38.1,67.9,12.8,"104,260",새천년민주당,3rd,임창선,한나라당,58.61,박용국,새천년민주당,35.06
2006,경기여주군,41670,Yeoju-si,여주시,,,,,,,,,,,,,,,,"310,885","240,925","14,261","55,700",67.5,25.81,41.7,"52,628","85,024","203,875",521,"54,270",,,,,,,,,38.7,69.8,13.4,"105,022",열린우리당,4th,이기수,한나라당,51.58,권재국,열린우리당,22.16
2007,경기여주군,41670,Yeoju-si,여주시,,,,,,,,,,,,,,,,"322,796","322,796","322,796","322,796",69.6,29.75,39.83,"69,022","92,406","231,990",667,"70,050",,,,,,,,,40.2,71.2,13.9,"106,926",열린우리당,4th,이기수,한나라당,51.58,권재국,열린우리당,22.16
2008,경기여주군,41670,Yeoju-si,여주시,,,,,,,,,,,,,,,,"354,354","300,415","22,550","31,390",80,41.61,38.4,"117,435","108,378","282,226",814,"87,014",,,7.3,"25,323","346,864",16.4,"53,026","3,897",42.4,73.4,14.3,"107,355",한나라당,4th,이기수,한나라당,51.58,권재국,열린우리당,22.16
2009,경기여주군,41670,Yeoju-si,여주시,,,,,,,,,,,-13.53,"410,903","355,319","408,771","2,132","469,841","375,694","24,512","69,634",78,36.12,41.86,"113,998","132,116","315,642",876,"93,996",,,6.9,"24,523","356,793",20.5,"68,929","4,391",39.7,71.3,14.7,"108,088",한나라당,4th,이기수,한나라당,51.58,권재국,열린우리당,22.16
2010,경기여주군,41670,Yeoju-si,여주시,,,,,,,,,,,-14.19,"435,007","373,262","434,162",845,"425,702","334,180","18,191","73,331",78.4,30.04,48.37,"82,472","132,803","274,536",682,"73,670",,,5.6,"19,367","344,862",21,"68,766","3,498",35.8,66.5,15.1,"109,250",한나라당,5th,김춘석,한나라당,39.14,원경희,미래연합,33.53
2011,경기여주군,41670,Yeoju-si,여주시,,,,,,,,,,,-7.4,"406,317","376,262","419,977","-13,660","421,712","337,155","26,535","58,021",78.6,38.37,40.23,"111,786","117,203","291,367",844,"92,186",,,6.6,"22,536","343,874",21.7,"70,093","4,645",42.1,72.7,15.5,"109,120",한나라당,5th,김춘석,한나라당,39.14,원경희,미래연합,33.53
2012,경기여주군,41670,Yeoju-si,여주시,,,,,,,,,,,-9.8,"471,773","425,531","458,234","13,539","458,192","339,601","47,850","70,742",81,38.41,42.55,"117,221","129,862","305,208",884,"96,410",,,5.5,"20,216","369,410",20.4,"70,608","4,750",39,72.1,16.1,"109,550",한나라당,5th,김춘석,한나라당,39.14,원경희,미래연합,33.53
2013,경기여주시,41670,Yeoju-si,여주시,,,,,,,,,,,-10.48,"497,326","445,184","498,618","-1,291","448,936","367,552","23,581","57,803",79.9,34.75,45.12,"109,401","142,038","314,826",881,"96,500",,,6.3,"26,647","420,647",21.6,"85,665","5,193",38.2,70.3,16.7,"109,343",한나라당,5th,김춘석,한나라당,39.14,원경희,미래연합,33.53
2014,경기여주시,41670,Yeoju-si,여주시,,,,,,,,,,,-,-,-,-,-,"482,336","384,323","30,038","67,974",78.3,35.71,42.62,"119,571","142,709","334,839",919,"100,470",,,6.6,"25,411","386,731",26.6,"97,858","5,184",33.1,67.9,16.9,"110,386",새누리당,6th,원경희,새누리당,54.26,장학진,새정치민주연합,26.03
2015,경기여주시,41670,Yeoju-si,여주시,"15,964","15,509",457,0,3,"3,047,488","3,037,192","10,496",0,200,-11.7,"533,205","470,802","534,346","-1,141","491,529","406,584","34,897","50,047",78.1,34.23,43.84,"123,874","158,623","361,857",902,"99,600",,,6.1,"26,743","441,152",25.8,"107,768","5,858",31.1,65.5,17.3,"111,033",새누리당,6th,원경희,새누리당,54.26,장학진,새정치민주연합,26.03
2016,경기여주시,41670,Yeoju-si,여주시,"15,947","15,609",338,0,0,"3,148,677","3,138,463","10,413",0,200,-0.16,"523,840","522,976","523,967",-127,"592,908","463,472","31,816","97,621",79.5,34.39,45.15,"130,071","170,766","378,205",933,"103,600",,,6.3,"30,398","481,658",26.9,"121,943","7,714",30.8,63.8,17.7,"111,563",새누리당,6th,원경희,새누리당,54.26,장학진,새정치민주연합,26.03
2017,경기여주시,41670,Yeoju-si,여주시,"20,788","20,374",414,0,0,"3,206,747","3,196,378","10,569",0,200,14.22,"574,089","655,749","574,311",-222,"648,482","513,864","31,280","103,338",79.2,36.29,42.87,"146,626","173,213","404,068",985,"109,900",,,9.6,"57,364","597,647",22.2,"123,643","8,869",31.1,65.5,18.8,"111,984",새정치민주연합,6th,원경희,새누리당,54.26,장학진,새정치민주연합,26.03
2018,경기여주시,41670,Yeoju-si,여주시,"29,012","28,520",492,0,0,"3,437,431","3,425,222","12,409",0,200,15.92,"624,750","724,181","624,364",385,"703,840","562,195","35,281","106,364",80.2,35.24,44.92,"157,838","201,219","447,931","1,015","113,642",,,10.5,"67,482","640,970",23.7,"139,290","12,702",28.9,63.7,19.7,"111,525",더불어민주당,7th,이항진,더불어민주당,33.87,이충우,자유한국당,33.3
2019,경기여주시,41670,Yeoju-si,여주시,"27,545","27,038",507,0,0,"3,649,709","3,635,752","14,157",0,200,18.58,"706,909","838,240","707,632",-724,"844,694","680,023","34,547","130,124",79.4,34.54,44.82,"190,554","247,274","551,691","1,022","114,027",,,14.8,"106,059","716,594",23.9,"162,196","9,193",23.7,64.5,20.8,"111,083",더불어민주당,7th,이항진,더불어민주당,33.87,이충우,자유한국당,33.3
2020,경기여주시,41670,Yeoju-si,여주시,"29,825","29,224",602,0,0,"3,801,378","3,785,845","15,733",0,200,-1.9,"868,809","852,279","868,243",566,"1,016,688","785,937","50,023","180,728",81.2,37.45,43.72,"232,138","270,997","619,865","1,144","127,116",,,9.5,"78,235","827,506",25.8,"201,854","11,388",23.9,66.2,21.9,"111,897",더불어민주당,7th,이항진,더불어민주당,33.87,이충우,자유한국당,33.3
2021,경기여주시,41670,Yeoju-si,여주시,"37,300","36,526",774,0,0,"4,152,863","4,136,426","16,638",0,200,9.02,"909,211","991,261","911,143","-1,932","1,166,607","886,873","67,255","212,480",81.6,35.83,45.75,"230,161","293,891","642,367","1,139","127,435",,,11.5,"920,066","106,089",25,"214,946","15,033",23.1,67.6,23.1,"112,150",더불어민주당,7th,이항진,더불어민주당,33.87,이충우,자유한국당,33.3
2022,경기여주시,41670,Yeoju-si,여주시,,,,,,,,,,,,,,,,,,,,80,34.86,45.09,"256,831","332,153","736,682","1,197","134,195",,,,,,,,,21,67.3,24.1,"113,150",국민의힘,8th,이충우,국민의힘,66.67,이항진,더불어민주당,33.32
2003,경기연천군,41800,Yeoncheon-gun,연천군,,,,,,,,,,,,,,,,"155,957","144,168","10,346","1,442",64.5,13.08,51.44,"16,415","64,559","125,494",231,"11,650",,,,,,,,,18.5,62.1,13.9,"49,508",새천년민주당,3rd,김규배,한나라당,33.04,이중익,자민련,23.83
2004,경기연천군,41800,Yeoncheon-gun,연천군,,,,,,,,,,,,,,,,"199,642","189,121","7,447","3,073",74.4,11.81,62.63,"21,174","112,288","179,291",267,"13,236",,,,,,,,,15.3,52.9,14.8,"48,687",새천년민주당,3rd,김규배,한나라당,33.04,이중익,자민련,23.83
2005,경기연천군,41800,Yeoncheon-gun,연천군,,,,,,,,,,,,,,,,"216,259","203,757","8,697","3,805",72.2,24.72,47.5,"44,586","85,680","180,368",493,"24,005",,,,,,,,,22.4,62.4,15.7,"47,123",새천년민주당,3rd,김규배,한나라당,33.04,이중익,자민련,23.83
2006,경기연천군,41800,Yeoncheon-gun,연천군,,,,,,,,,,,,,,,,"222,617","197,150","22,269","3,197",70.6,28.32,42.27,"51,732","77,227","182,690",609,"28,702",,,,,,,,,23.9,68.1,16.5,"46,075",열린우리당,4th,김규배,한나라당,50.76,강보원,무소속,19.58
2007,경기연천군,41800,Yeoncheon-gun,연천군,,,,,,,,,,,,,,,,"267,197","267,197","267,197","267,197",73.4,35.17,38.26,"75,243","81,840","213,922",795,"36,635",,,,,,,,,28.6,70.4,17.5,"45,603",열린우리당,4th,김규배,한나라당,50.76,강보원,무소속,19.58
2008,경기연천군,41800,Yeoncheon-gun,연천군,,,,,,,,,,,,,,,,"280,956","239,056","39,935","1,964",81,37.99,43.04,"96,840","109,709","254,889",924,"42,127",,,5.1,"14,443","285,385",12.6,"30,736","5,264",28,69,18.1,"45,495",한나라당,4th,김규배,한나라당,50.76,강보원,무소속,19.58
2009,경기연천군,41800,Yeoncheon-gun,연천군,,,,,,,,,,,-9.58,"317,856","287,421","316,800","1,056","370,858","319,285","48,666","2,906",82.5,37.37,45.13,"98,902","119,433","264,666",963,"43,800",,,6,"17,189","286,349",14.1,"36,076","4,184",27.2,68.5,18.8,"45,241",한나라당,4th,김규배,한나라당,50.76,강보원,무소속,19.58
2010,경기연천군,41800,Yeoncheon-gun,연천군,,,,,,,,,,,-5.73,"335,881","316,637","334,813","1,068","330,005","284,501","43,325","2,178",82.5,33.6,48.91,"88,577","128,940","263,616",965,"43,655",,,5.9,"17,190","293,827",13.8,"34,885","5,573",27,65.2,19.5,"45,177",한나라당,5th,김규선,한나라당,36.06,장기현,민주당,18.92
2011,경기연천군,41800,Yeoncheon-gun,연천군,,,,,,,,,,,-6.52,"367,963","343,988","367,365",598,"335,380","283,884","49,371","2,125",81,36.16,44.81,"94,559","117,168","261,500",985,"44,500",,,5.8,"18,547","317,859",13.5,"38,021","4,882",27.6,67.9,20.2,"44,900",한나라당,5th,김규선,한나라당,36.06,장기현,민주당,18.92
2012,경기연천군,41800,Yeoncheon-gun,연천군,,,,,,,,,,,-2.77,"364,061","353,980","363,668",392,"364,850","321,618","41,255","1,976",80.9,34.83,46.02,"97,679","129,072","280,452",901,"40,453",,,6.4,"21,924","340,004",13.7,"40,293","6,232",23.4,62.7,20.5,"45,599",한나라당,5th,김규선,한나라당,36.06,장기현,민주당,18.92
2013,경기연천군,41800,Yeoncheon-gun,연천군,,,,,,,,,,,-4.78,"415,173","395,337","414,777",396,"411,658","356,249","53,632","1,777",79.2,35.5,43.74,"100,391","123,712","282,812",896,"40,868",,,8.2,"30,644","372,773",13.1,"42,634","6,069",22.5,65.8,21,"45,610",한나라당,5th,김규선,한나라당,36.06,장기현,민주당,18.92
2014,경기연천군,41800,Yeoncheon-gun,연천군,,,,,,,,,,,-3.29,"361,599","349,712","361,234",366,"383,342","327,393","53,514","2,435",77.8,36.58,41.22,"103,564","116,708","283,151",922,"42,058",,,7.7,"24,786","323,704",16.5,"48,207","5,173",19.2,66.3,21.8,"45,363",새누리당,6th,김규선,새누리당,52.43,이태원,새정치민주연합,28.93
2015,경기연천군,41800,Yeoncheon-gun,연천군,"30,907","31,243",222,0,557,"1,892,994","1,892,773",432,0,210,-5.55,"400,529","378,308","400,238",291,"377,934","325,630","50,403","1,901",78.3,37.72,40.55,"108,795","116,949","288,438",948,"43,010",,,8.3,"29,579","356,173",17.4,"55,287","6,643",20.7,66.6,21.9,"45,725",새누리당,6th,김규선,새누리당,52.43,이태원,새정치민주연합,28.93
2016,경기연천군,41800,Yeoncheon-gun,연천군,"20,399","20,169",230,0,0,"1,973,550","1,973,320",440,0,210,3.04,"371,604","382,885","371,355",249,"386,169","345,943","39,026","1,199",77.9,36.23,41.62,"107,835","123,874","297,600",956,"43,719",,,7.7,"27,492","356,024",18.3,"58,857","6,265",20.4,71,22.1,"45,907",새누리당,6th,김규선,새누리당,52.43,이태원,새정치민주연합,28.93
2017,경기연천군,41800,Yeoncheon-gun,연천군,"12,670","12,430",240,0,0,"2,066,991","2,066,701",500,0,210,7.13,"381,882","409,114","381,804",78,"406,155","355,637","49,212","1,305",79,37.81,41.23,"112,271","122,434","296,970",926,"42,530",,,9.1,"36,708","401,819",18.4,"66,890","7,060",20.1,67.7,22.9,"45,431",새정치민주연합,6th,김규선,새누리당,52.43,이태원,새정치민주연합,28.93
2018,경기연천군,41800,Yeoncheon-gun,연천군,"14,441","14,146",295,0,0,"2,262,728","2,262,173",555,0,0,25.76,"413,884","520,492","413,126",758,"437,876","383,108","53,405","1,363",78.2,33.79,44.42,"108,895","143,157","322,260",955,"43,370",,,6.9,"32,337","469,631",17.8,"76,152","7,421",17.9,65.1,23.8,"44,633",더불어민주당,7th,김광철,자유한국당,52.23,왕규식,더불어민주당,47.76
2019,경기연천군,41800,Yeoncheon-gun,연천군,"22,123","21,764",359,0,0,"2,414,651","2,414,031",619,0,0,13.29,"527,470","597,546","527,032",438,"619,736","563,054","54,556","2,126",77.4,32.81,44.63,"118,856","161,675","362,219",993,"44,310",,,13.8,"87,391","633,648",15.3,"87,081","9,793",16.4,65.1,25.1,"43,824",더불어민주당,7th,김광철,자유한국당,52.23,왕규식,더불어민주당,47.76
2020,경기연천군,41800,Yeoncheon-gun,연천군,"22,176","21,746",429,0,0,"2,469,918","2,469,438",689,0,210,-6.92,"633,278","589,475","633,611",-332,"671,759","593,008","75,977","2,774",77.8,36.95,40.84,"151,708","167,692","410,619","1,298","56,865",,,10,"57,630","579,077",19.4,"99,263","12,886",18.3,67.6,26.4,"43,516",더불어민주당,7th,김광철,자유한국당,52.23,왕규식,더불어민주당,47.76
2021,경기연천군,41800,Yeoncheon-gun,연천군,"18,196","17,809",387,0,0,"2,593,149","2,592,713",647,0,210,1.36,"618,554","626,937","618,263",291,"695,240","626,456","66,579","2,205",80.1,38.43,41.71,"166,275","180,477","432,713","1,277","55,550",,,12.1,"639,899","77,696",17.2,"98,264","11,559",18.6,66.6,27.7,"42,721",더불어민주당,7th,김광철,자유한국당,52.23,왕규식,더불어민주당,47.76
2022,경기연천군,41800,Yeoncheon-gun,연천군,,,,,,,,,,,,,,,,,,,,81.4,39.62,41.73,"196,576","207,053","496,144","1,213","51,835",,,,,,,,,14.5,62.9,29.3,"42,062",국민의힘,8th,김덕현,국민의힘,47.46,유상호,더불어민주당,26.92
2003,경기오산시,41370,Osan-si,오산시,,,,,,,,,,,,,,,,"142,891","100,367","20,268","22,256",67.9,15.64,52.23,"17,329","57,868","110,795",222,"25,761",,,,,,,,,43.8,63.7,4.9,"118,167",새천년민주당,3rd,박신원,자민련,30.79,이춘성,한나라당,28.16
2004,경기오산시,41370,Osan-si,오산시,,,,,,,,,,,,,,,,"153,435","110,738","27,330","15,368",63.9,20.82,43.03,"25,566","52,843","122,800",251,"29,636",,,,,,,,,39.2,66.5,5.1,"121,326",새천년민주당,3rd,박신원,자민련,30.79,이춘성,한나라당,28.16
2005,경기오산시,41370,Osan-si,오산시,,,,,,,,,,,,,,,,"193,564","157,334","26,356","9,874",62.7,28.92,33.75,"36,989","43,161","127,887",278,"33,744",,,,,,,,,51.9,83.9,5,"129,843",새천년민주당,3rd,박신원,자민련,30.79,이춘성,한나라당,28.16
2006,경기오산시,41370,Osan-si,오산시,,,,,,,,,,,,,,,,"335,747","262,549","68,570","4,627",75.1,24.22,50.92,"51,915","109,115","214,304",323,"41,926",,,,,,,,,58.4,87,5.3,"136,311",열린우리당,4th,이기하,한나라당,33.69,박신원,무소속,23.11
2007,경기오산시,41370,Osan-si,오산시,,,,,,,,,,,,,,,,"222,376","222,376","222,376","222,376",74.6,30.25,44.38,"69,924","102,584","231,168",381,"51,884",,,,,,,,,53.5,86,5.5,"145,825",열린우리당,4th,이기하,한나라당,33.69,박신원,무소속,23.11
2008,경기오산시,41370,Osan-si,오산시,,,,,,,,,,,,,,,,"316,595","212,654","87,612","16,329",80.9,31.81,49.07,"67,542","104,201","212,353",406,"59,193",,,17.6,"40,235","228,378",20.5,"41,342","5,454",54.5,77.5,5.7,"150,237",한나라당,4th,이기하,한나라당,33.69,박신원,무소속,23.11
2009,경기오산시,41370,Osan-si,오산시,,,,,,,,,,,-21.81,"380,428","297,439","377,616","2,812","403,613","271,282","105,997","26,334",79.9,50.97,28.95,"105,667","60,018","207,318",450,"67,593",,,11.9,"29,478","247,281",36,"54,432","34,543",61.1,81.1,6,"159,734",한나라당,4th,이기하,한나라당,33.69,박신원,무소속,23.11
